Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Fri Oct 27 2017,7:00p,Houston Rockets,109,Charlotte Hornets,93,Box Score,,17339,
Fri Oct 27 2017,10:30p,Washington Wizards,117,Golden State Warriors,120,Box Score,,19596,
Fri Oct 27 2017,10:30p,Toronto Raptors,101,Los Angeles Lakers,92,Box Score,,17876,
Fri Oct 27 2017,8:00p,Oklahoma City Thunder,116,Minnesota Timberwolves,119,Box Score,,17620,
Fri Oct 27 2017,7:30p,Brooklyn Nets,86,New York Knicks,107,Box Score,,19812,
Fri Oct 27 2017,7:00p,San Antonio Spurs,87,Orlando Magic,114,Box Score,,17337,
Sat Oct 28 2017,8:00p,Oklahoma City Thunder,101,Chicago Bulls,69,Box Score,,21706,
Sat Oct 28 2017,8:30p,Philadelphia 76ers,112,Dallas Mavericks,110,Box Score,,19567,
Sat Oct 28 2017,10:30p,Detroit Pistons,95,Los Angeles Clippers,87,Box Score,,17247,
Sat Oct 28 2017,8:00p,Houston Rockets,89,Memphis Grizzlies,103,Box Score,,17033,
Sat Oct 28 2017,8:00p,Boston Celtics,96,Miami Heat,90,Box Score,,19600,
Sat Oct 28 2017,7:00p,Cleveland Cavaliers,101,New Orleans Pelicans,123,Box Score,,18539,
Sat Oct 28 2017,10:00p,Phoenix Suns,107,Portland Trail Blazers,114,Box Score,,19343,
Sat Oct 28 2017,9:00p,Los Angeles Lakers,81,Utah Jazz,96,Box Score,,18306,
Sun Oct 29 2017,3:30p,Milwaukee Bucks,117,Atlanta Hawks,106,Box Score,,14014,
Sun Oct 29 2017,6:00p,Denver Nuggets,124,Brooklyn Nets,111,Box Score,,14854,
Sun Oct 29 2017,6:00p,Orlando Magic,113,Charlotte Hornets,120,Box Score,,15531,
Sun Oct 29 2017,7:00p,New York Knicks,114,Cleveland Cavaliers,95,Box Score,,20562,
Sun Oct 29 2017,8:30p,Detroit Pistons,115,Golden State Warriors,107,Box Score,,19596,
Sun Oct 29 2017,4:30p,San Antonio Spurs,94,Indiana Pacers,97,Box Score,,15013,
Sun Oct 29 2017,6:00p,Washington Wizards,110,Sacramento Kings,83,Box Score,,17583,
Mon Oct 30 2017,7:30p,San Antonio Spurs,94,Boston Celtics,108,Box Score,,18624,
Mon Oct 30 2017,8:00p,Philadelphia 76ers,115,Houston Rockets,107,Box Score,,16714,
Mon Oct 30 2017,10:30p,Golden State Warriors,141,Los Angeles Clippers,113,Box Score,,19068,
Mon Oct 30 2017,8:00p,Charlotte Hornets,104,Memphis Grizzlies,99,Box Score,,15771,
Mon Oct 30 2017,7:30p,Minnesota Timberwolves,125,Miami Heat,122,Box Score,OT,19600,
Mon Oct 30 2017,8:00p,Orlando Magic,115,New Orleans Pelicans,99,Box Score,,14004,
Mon Oct 30 2017,7:30p,Denver Nuggets,110,New York Knicks,116,Box Score,,19812,
Mon Oct 30 2017,10:00p,Toronto Raptors,99,Portland Trail Blazers,85,Box Score,,18505,
Mon Oct 30 2017,9:00p,Dallas Mavericks,89,Utah Jazz,104,Box Score,,16221,
Tue Oct 31 2017,7:30p,Phoenix Suns,122,Brooklyn Nets,114,Box Score,,12936,
Tue Oct 31 2017,7:00p,Sacramento Kings,83,Indiana Pacers,101,Box Score,,12245,
Tue Oct 31 2017,10:30p,Detroit Pistons,93,Los Angeles Lakers,113,Box Score,,17569,
Tue Oct 31 2017,8:00p,Oklahoma City Thunder,110,Milwaukee Bucks,91,Box Score,,16713,
Wed Nov 1 2017,7:30p,Sacramento Kings,86,Boston Celtics,113,Box Score,,18624,
Wed Nov 1 2017,7:00p,Milwaukee Bucks,121,Charlotte Hornets,126,Box Score,,15655,
Wed Nov 1 2017,7:00p,Indiana Pacers,124,Cleveland Cavaliers,107,Box Score,,20562,
Wed Nov 1 2017,9:00p,Toronto Raptors,111,Denver Nuggets,129,Box Score,,14072,
Wed Nov 1 2017,10:30p,Dallas Mavericks,98,Los Angeles Clippers,119,Box Score,,13487,
Wed Nov 1 2017,8:00p,Orlando Magic,101,Memphis Grizzlies,99,Box Score,,15434,
Wed Nov 1 2017,7:30p,Chicago Bulls,91,Miami Heat,97,Box Score,,19600,
Wed Nov 1 2017,8:00p,Minnesota Timberwolves,104,New Orleans Pelicans,98,Box Score,,14788,
Wed Nov 1 2017,8:00p,Houston Rockets,119,New York Knicks,97,Box Score,,18320,
Wed Nov 1 2017,7:00p,Atlanta Hawks,109,Philadelphia 76ers,119,Box Score,,20549,
Wed Nov 1 2017,9:00p,Portland Trail Blazers,103,Utah Jazz,112,Box Score,OT,16685,
Wed Nov 1 2017,7:00p,Phoenix Suns,122,Washington Wizards,116,Box Score,,14790,
Thu Nov 2 2017,10:30p,Los Angeles Lakers,110,Portland Trail Blazers,113,Box Score,,19469,
Thu Nov 2 2017,8:00p,Golden State Warriors,112,San Antonio Spurs,92,Box Score,,18418,
Fri Nov 3 2017,7:30p,Houston Rockets,119,Atlanta Hawks,104,Box Score,,14087,
Fri Nov 3 2017,8:30p,New Orleans Pelicans,99,Dallas Mavericks,94,Box Score,,19894,
Fri Nov 3 2017,9:00p,Miami Heat,94,Denver Nuggets,95,Box Score,,15317,
Fri Nov 3 2017,7:00p,Milwaukee Bucks,96,Detroit Pistons,105,Box Score,,17207,
Fri Nov 3 2017,10:30p,Brooklyn Nets,112,Los Angeles Lakers,124,Box Score,,18997,
Fri Nov 3 2017,7:30p,Phoenix Suns,107,New York Knicks,120,Box Score,,19404,
Fri Nov 3 2017,9:30p,Boston Celtics,101,Oklahoma City Thunder,94,Box Score,,18203,
Fri Nov 3 2017,7:00p,Chicago Bulls,105,Orlando Magic,83,Box Score,,19171,
Fri Nov 3 2017,7:00p,Indiana Pacers,110,Philadelphia 76ers,121,Box Score,,20668,
Fri Nov 3 2017,8:30p,Charlotte Hornets,101,San Antonio Spurs,108,Box Score,,18418,
Fri Nov 3 2017,9:00p,Toronto Raptors,109,Utah Jazz,100,Box Score,,16258,
Fri Nov 3 2017,7:00p,Cleveland Cavaliers,130,Washington Wizards,122,Box Score,,20356,
Sat Nov 4 2017,8:00p,New Orleans Pelicans,96,Chicago Bulls,90,Box Score,OT,21254,
Sat Nov 4 2017,9:00p,Golden State Warriors,127,Denver Nuggets,108,Box Score,,19711,
Sat Nov 4 2017,7:00p,Sacramento Kings,99,Detroit Pistons,108,Box Score,,17683,
Sat Nov 4 2017,3:30p,Memphis Grizzlies,113,Los Angeles Clippers,104,Box Score,,14777,
Sat Nov 4 2017,8:00p,Dallas Mavericks,99,Minnesota Timberwolves,112,Box Score,,16837,
Sun Nov 5 2017,3:00p,Atlanta Hawks,117,Cleveland Cavaliers,115,Box Score,,20562,
Sun Nov 5 2017,7:00p,Utah Jazz,110,Houston Rockets,137,Box Score,,16914,
Sun Nov 5 2017,3:30p,Miami Heat,104,Los Angeles Clippers,101,Box Score,,15676,
Sun Nov 5 2017,9:30p,Memphis Grizzlies,102,Los Angeles Lakers,107,Box Score,,18997,
Sun Nov 5 2017,8:00p,Charlotte Hornets,94,Minnesota Timberwolves,112,Box Score,,14124,
Sun Nov 5 2017,7:30p,Indiana Pacers,101,New York Knicks,108,Box Score,,17889,
Sun Nov 5 2017,6:00p,Boston Celtics,104,Orlando Magic,88,Box Score,,17731,
Sun Nov 5 2017,9:00p,Oklahoma City Thunder,99,Portland Trail Blazers,103,Box Score,,19393,
Sun Nov 5 2017,7:00p,Phoenix Suns,95,San Antonio Spurs,112,Box Score,,18038,
Sun Nov 5 2017,6:00p,Washington Wizards,107,Toronto Raptors,96,Box Score,,19800,
Mon Nov 6 2017,7:30p,Boston Celtics,110,Atlanta Hawks,107,Box Score,,13215,
Mon Nov 6 2017,10:30p,Miami Heat,80,Golden State Warriors,97,Box Score,,19596,
Mon Nov 6 2017,9:00p,Brooklyn Nets,98,Phoenix Suns,92,Box Score,,15905,
Tue Nov 7 2017,7:00p,Milwaukee Bucks,119,Cleveland Cavaliers,124,Box Score,,20562,
Tue Nov 7 2017,9:00p,Brooklyn Nets,104,Denver Nuggets,112,Box Score,,14058,
Tue Nov 7 2017,7:00p,New Orleans Pelicans,117,Indiana Pacers,112,Box Score,,15014,
Tue Nov 7 2017,7:30p,Charlotte Hornets,113,New York Knicks,118,Box Score,,18704,
Tue Nov 7 2017,10:00p,Memphis Grizzlies,98,Portland Trail Blazers,97,Box Score,,18692,
Tue Nov 7 2017,10:00p,Oklahoma City Thunder,86,Sacramento Kings,94,Box Score,,17583,
